"filename", "language", "Markdown", "XML", "C#", "JSON", "aspnetcorerazor", "HTML", "SQL", "CSS", "JavaScript", "comment", "blank", "total"
"c:\projects\salesImitation\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\projects\salesImitation\SalesImitation\src\SI.application\Abstractions\IFacebookService.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\projects\salesImitation\SalesImitation\src\SI.application\Administrators\Commands\LoginAdministrator\LoginAdministratorHandler.cs", "C#", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\projects\salesImitation\SalesImitation\src\SI.application\Administrators\Commands\LoginAdministrator\LoginAdministratorReponse.cs", "C#", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\projects\salesImitation\SalesImitation\src\SI.application\Administrators\Commands\LoginAdministrator\LoginAdministratorRequest.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\projects\salesImitation\SalesImitation\src\SI.application\Administrators\Commands\RegisterAdministrator\RegisterAdministratorRequest.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\projects\salesImitation\SalesImitation\src\SI.application\Administrators\Commands\RegisterAdministrator\RegisterAdministratorRequestHandler.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Commands\SaveNewCategory\SaveNewCategoryHandler.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Commands\SaveNewCategory\SaveNewCategoryRequest.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Commands\SetIsActiveToCategory\SetIsActiveToCategoryHandler.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Commands\SetIsActiveToCategory\SetIsActiveToCategoryRequest.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Commands\UpdateCategory\UpdateCategoryHandler.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Commands\UpdateCategory\UpdateCategoryRequest.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Queries\GetAllCategories\GetAllCategoriesHandler.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Queries\GetAllCategories\GetAllCategoriesRequest.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Queries\GetCategoriesListbyIDs\GetCategoriesListResponse.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Queries\GetCategoriesListbyIDs\GetCategoriesListbyIDsRequestHandler.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Queries\GetCategoriesListbyIDs\GetCategoriesListbyIDsRequestRequest.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Queries\GetCategory\GetCategoryHandler.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\projects\salesImitation\SalesImitation\src\SI.application\Categories\Queries\GetCategory\GetCategoryRequest.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\projects\salesImitation\SalesImitation\src\SI.application\Contents\ContentModel.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\projects\salesImitation\SalesImitation\src\SI.application\Contents\IContentRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\projects\salesImitation\SalesImitation\src\SI.application\CurrentMissions\Commands\BuyExtraTime\BuyExtraTimeHandler.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\projects\salesImitation\SalesImitation\src\SI.application\CurrentMissions\Commands\BuyExtraTime\BuyExtraTimeRequest.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\projects\salesImitation\SalesImitation\src\SI.application\CurrentMissions\Commands\SkipCurrentMission\SkipCurrentMissionHandler.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\projects\salesImitation\SalesImitation\src\SI.application\CurrentMissions\Commands\SkipCurrentMission\SkipCurrentMissionRequst.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\projects\salesImitation\SalesImitation\src\SI.application\CurrentMissions\Commands\StartNewMission\SartNewMissionRequest.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 1, 11
"c:\projects\salesImitation\SalesImitation\src\SI.application\CurrentMissions\Commands\StartNewMission\StartNewMissionHandler.cs", "C#", 0, 0, 79, 0, 0, 0, 0, 0, 0, 4, 14, 97
"c:\projects\salesImitation\SalesImitation\src\SI.application\CurrentMissions\Queries\GetCurrentMission\GetCurrentMissionHandler.cs", "C#", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\projects\salesImitation\SalesImitation\src\SI.application\CurrentMissions\Queries\GetCurrentMission\GetCurrentMissionRequest.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\projects\salesImitation\SalesImitation\src\SI.application\DependencyInjection.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\projects\salesImitation\SalesImitation\src\SI.application\EventHandlers\CurrentMissions\CreateCurrentMissionEventHandler.cs", "C#", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\projects\salesImitation\SalesImitation\src\SI.application\EventHandlers\DomainEvent.cs", "C#", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\projects\salesImitation\SalesImitation\src\SI.application\FAQs\FAQModel.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\projects\salesImitation\SalesImitation\src\SI.application\FAQs\IFAQsRepository.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\projects\salesImitation\SalesImitation\src\SI.application\Missions\Commands\SaveNewMission\SaveNewMissionHandler.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 7, 34
